Original_Input_Text,RL_Types,Raw_Model_Output
你这种海归硕士去市南或者地铁溜一圈一大推大姨让你娶她曼很喜欢你这种高学历的,[认同逻辑4：Linguistic-Cultural Recognition，认同逻辑6：Social Embeddedness],输出： [认同逻辑4：Linguistic-Cultural Recognition，认同逻辑6：Social Embeddedness]
我是李村的，感觉可能很多人对青岛有争论可能是对“青岛”这个所谓的概念站在不同角度去理解的。仅从个人的认识来说，如果说是市的层面，我的观念感觉城阳即墨胶州西海岸都可以说是青岛，平度莱西确实是有点太远了，总感觉名义上的，我确实对那边缺少同在一个青岛的归属感。如果说是岛的层面，那我认为红岛和黄岛肯定不属于青岛，这三个应该是并列的，青岛的话我认为城阳的流亭以南，加上市内四区的范围都叫青岛。,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
完蛋，我们都是郊区人,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
何止交通？医疗教育购物等等,[认同逻辑5],输出： [认同逻辑5]
乖乖，住城墙里头的是天龙人吗？讲话都这么吊了，其他都是乡下人哈哈哈,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
按以前的行政区块，至少老下关、秦淮区城墙外的部分、雨花、建邺相当于城乡结合部，2000年以前仙林大学城那边还有不少农田的,[认同逻辑2：Administrative Legitimacy],输出： [认同逻辑2：Administrative Legitimacy]
以前城墙以内，现在按行政区划。如果还按照以前，南京小县城都不如了，太小。现在南京全部加一起也不大，再减就没啦,[认同逻辑2],输出： [认同逻辑2]
城墙外，我小时候住那边，去夫子庙都说进城了,[认同逻辑1],输出： [认同逻辑1]
以前交通不发达 所以才觉得城墙内才是主城区 比如过去的白下区的同学就很少去下关区 因为远,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
确实，小时候我们家住城南现在万象城那边他们都觉得瑞金路解放门好远了，就是城墙城南到城墙城东觉得好远啊那时候交通实在不便利,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
nono 我们建邺是乡下 进城要过河过桥进城墙的,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
小时候家里人都以城墙为界，城墙外都是郊区,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
跟钱有什么关系？ta说的主城区是历史沿革，优越感来自于底蕴，有底蕴不等于有钱，扯上海人做什么,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
肯定便利啊 仙林是宇宙的中心,[认同逻辑1，认同逻辑5],输出： [认同逻辑1，认同逻辑5]
什么时候方言成为决定是否是主城区的标准了？,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
行政上栖霞也是主城区，可是栖霞的边缘都到句容了，你能按行政区域划分？本地人从来不看这个,[认同逻辑2：Administrative Legitimacy],输出： [认同逻辑2：Administrative Legitimacy]
南京最大的问题就是核心还在老城 而且隧道多没有走高架看起来壮观 新区一直都没有让外地人熟知 外地人过来大概率不会去江北河西之类的 除了看演唱会 不像钱江世纪城和浦东之类的被人熟知 走走江东路江北大道双龙大道也不会觉得城市界面不好 而且老城真没什么问题 除了中山北路被地铁缠的,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
从大胜关高铁过江这个角度可以看到河西skyline,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
高楼大厦就叫城建了？交通,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
哈哈哈有口音哥还行,[认同逻辑4],输出： [认同逻辑4]
我基本就是在海淀朝阳丰台活动，比较宅，从我家去公司也是走四环或者三环,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
礼贤拆迁户,"[认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）]","输出： [认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）]"
？你家邻居送你酸杏跟人家好的熟的杏甜有啥关系吗我请问？你自己不会花钱买甜的？合着我不会做饭给你炒盘糊的难吃的西红柿炒鸡蛋 你就说所有西红柿炒鸡蛋都不好吃呗？什么逻辑啊？,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
东城：美术馆，北京名胜古迹集中营，以前南锣鼓巷称为中国的“秋叶原” 西城：学霸集中营，除了北京四中没有别的印象，宣武印象都比西城多 海淀：修电脑的，大学集中营，去漫展喽 朝阳：我家，好大 丰台：体育馆 石景山：石景山游乐园，我出生的地方，老山 门头沟：好远…………………… 房山：好远…………………… 通州：我奶奶家，以前叫通县，环球影城，以前落后现在发展特别好 顺义：小汤山？温泉？小学老去那边采摘园？ 昌平：回龙观和天通苑！人口密集居住地！ 大兴：机场可以接受河北信号 怀柔：说话带口音，没去过 平谷：大桃，说话带口音，没去过 密云：水库，说话带口音，没去过 延庆：只在天气预报见过龙庆峡，没去过,[认同逻辑1],输出： [认同逻辑1]
密云，有密云水库，还有一些纪念馆，但是，交通就不太方便，就只有公交，你要是说北京应该就有地铁，说实话，我现在没见过只有公交，而且在镇上，你要去哪哪的也不方便，比如我要去快递驿站，我要骑一个小时的自行车才能去，骑回来，还要再一个小时其他的地方我就不知道了,[认同逻辑5],输出： [认同逻辑5]
东城，西城：房价贵 海淀：学校多 教育好 鸡娃 朝阳：潮人多 外地人也多 丰台：感觉好吃的挺多 石景山：有个很老的游乐场 门头沟：不太熟 房山，昌平，大兴，通州：好远 顺义：听朋友说那边有钱人多 怀柔：北京后花园 平谷：桃子 密云：水库 延庆：冰灯,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
郊区:山好水好，人实在，生活节奏慢，玩的东西少，适合呆着。 市里:玩的东西多，生活节奏快，上个班跟竞走一样，有地铁，地铁里全是人肉味儿,[认同逻辑5：Functional Livability],输出： [认同逻辑5：Functional Livability]
东城：京爷您吉祥 西城：京爷您吉祥（这两个没贬义，因为感觉胡同多多的，是真京爷） 海淀：学的我想死，根本跟不上海淀学生😭我不会的他们都学过了😭 朝阳：上大学，就认识这一亩三分地 丰台：小时候去园博园 大学找朋友玩总去坐高铁 石景山：石景山游乐园+去过漫展 门头沟：总发大水 房山：朋友家 远远嘟 通州：副中心，环球影城 顺义：国际学校多有钱人多 社会大课堂总去七彩蝶园和鲜花港 昌平：大一在昌平，远，好朋友在那上大学 大兴：没什么印象，有漫展 怀柔：红螺寺 社会大课堂去过生存岛 平谷：看桃花 摘桃 密云：我家 去城里不方便😫存了半天喝不着水库水 延庆：远远嘟，去过世园会,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
西城：皇城根儿 正黄旗 东城：旅游景点 全是人 朝阳：潮 喜欢去那边玩 海淀：全是学霸 学生时期每周末都来补习 大兴：西瓜好吃 丰台：买花买鱼的地方 有点土潮 通州：环球影城 zf办公区 密云：水库环境好 鱼好吃 周末玩水 延庆：有口音 不算北京 怀柔：空气好 房山：猿人遗址 门头沟：发大水 平谷：不熟 有桃儿,[认同逻辑1],输出： [认同逻辑1]
东城：老破小房价高 好多宰游客的景点 西城：老破小房价高 西单 好多宰游客的景点 海淀：老破小房价高 全是学校 什么好玩的都没有 朝阳：潮人and有钱人 好玩的商场挺多 丰台：郊区 小时候舞蹈考级去过 石景山：好远 门头沟：假期去烧烤 房山：好远 通州：好远 顺义：别墅区 八大处 风景不错 昌平：好远 大兴：好远 怀柔：好远 平谷：桃子好吃 密云：水库 或许可以去度假 延庆：好远,[认同逻辑5：Functional Livability],输出： [认同逻辑5：Functional Livability]
老师我家怀柔也想要地铁,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
东城：城里人 西城：城里人 海淀：很那个的地方 朝阳：巨大一片 哪都是朝阳 丰台：有什么啊 石景山：钢！(石景山同学说是城中村 门头沟：啊？ 房山：有一片学校 通州：待富 目前只有环球拿得出手 顺义：牛栏山一中 昌平：天通苑 大兴：荟聚 怀柔：有什么啊 平谷：大桃 还有音乐节 密云：水库 延庆：冬奥？,[认同逻辑1],输出： [认同逻辑1]
东城：故宫 南锣鼓巷 西城：景山公园 海淀：卷子好难 初高中折磨我6年 朝阳：老去内头逛 石景山：不太熟就记得学校去内体育馆开过个运动会 丰台：不太熟就记得之前学校里有个住这儿的走读生 门头沟：对象在内块上过学 通州：太爱吹牛逼，，，远离卷毛老太太…… 昌平：超级合生汇 大兴：去机场千万别卡点…… 顺义：别墅 有钱的多 怀柔：慕田峪长城 雁栖湖 平谷：桃好吃！口音好重 密云：水库 南山滑雪场里面的教练好美 房山：周口店猿人遗址 延庆：八达岭长城 动物园,[认同逻辑1：Vernacular Spatial Authority],输出： [认同逻辑1：Vernacular Spatial Authority]
东城：东直门，雍和宫，朝外SOHO（？） 西城：安贞？安慧？蓟门桥？南礼士路 海淀：各大知名院校，如清华北大等，中关村，五道口，也是程序员聚集地 朝阳：京爷，四合院，城根底下，繁华都市 丰台：有点偏，外来打工人租房子或者住员工宿舍的地方，有些地方还没开发出来，稍微有点沧桑 石景山：不熟悉，也挺偏的，就知道个八角游乐园 门头沟：山里？挺偏的，那边的人挺横，打架不好欺负 房山：太偏了，总感觉快出北京了，那边房子相对较便宜,[认同逻辑1：Vernacular Spatial Authority],输出： [认同逻辑1：Vernacular Spatial Authority]
东城：出生地 西城：学前班以及爷爷奶奶家 富贵之地 朝阳：定居➕身份证号 朝阳人民群众 商务区 使馆区 购物时尚 金融CBD 海淀 各种重点学校➕很多部队的人员居住➕学区房老破小➕IT 丰台：印象中南城外省市的流动人口最多 石景山：对它印象一直停留在石景山游乐园 大兴：水质很差 都是村 房山：口音很重 感觉路途遥远 都是景点 怀柔：周末远郊必去 昌平：上风口 选🪦的风水宝地和延庆一起堪称北京空气质量略好一筹的地区 密云：密云水库 🍑 古北水镇 口音也很重 延庆：除了山就是村 开车还要盘山 房子便宜的你都不认为它是北京！,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑2：Administrative Legitimacy（行政归属合法性）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑2：Administrative Legitimacy（行政归属合法性）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]"
东城：崇文 东城合并 城里人 西城：宣武 西城合并 城里人 海淀：大学很多 那边的父母鸡娃 挺多的 朝阳：感觉很有钱的样子 丰台：家 以前是郊区 现在的居住区，附近有城里拆迁过来的，没啥好工作，上班地铁好多人 石景山：首钢 之前公司的客服部 去那边打过电话 (不知道为啥总觉得玉渊潭在石景山 门头沟：山沟 去年发大水很严重 房山：十渡 周口店北京人本人 通州：环球影城 副中心 顺义：首都机场 采摘 农家乐很多 昌平：北边太远了 回龙观 大兴：亦庄 西红门 高米店 驾照 怀柔：没咋去过 板栗 平谷：大桃 有地方口音 密云：水库 延庆：山区,[认同逻辑1],输出： [认同逻辑1]
"今天出去玩 听见一个老爷爷在聊天 说老北京的城八区 东城 西城 崇文 宣武 那叫城里 朝阳 海淀 丰台 石景山是近郊 那时候骑自行车问去哪玩 都说去城里
 那远郊的那几个区都是后划进来的 要问去哪啊 基本就说去北京 那离城里太远了 山路不好走 开车也得开一天啊
 我查了一下北京在建国初期的时候 北京城区一共是七个 也就是前文区 东单东四西单西四崇文宣武 还有六个郊区 就是东郊南苑 丰台海淀石景山 还有一个京西矿区 到了1956年的时候 隶属于河北的昌平划归北京 那会叫昌平县 到1958年的时候把东四东单合并成东城区 西四西单合并成西城区 同时撤销了前门区 在后来 京西矿区就变成了门头沟区 东郊呢变成了朝阳区 同一年 通州房山大兴平谷 密云怀柔延庆都并入北京","[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑2：Administrative Legitimacy（行政归属合法性）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑2：Administrative Legitimacy（行政归属合法性）]"
你去好好研究一下历史，我房山人，《房山县志》写的清清楚楚！你还别跟我犟嘴，为什么延庆口音重，就因为延庆从河北划过来的！其他区一直是北京固有！只不过是因为一些原因，划到了河北，让河北暂时管理，你应该知道什么叫暂时！河北就管了几年，然后又划回来了！延庆才是从河北来的！你去问问你的历史老师，或者你看看其他区县的县志,"[认同逻辑2：Administrative Legitimacy（行政归属合法性）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]","输出： [认同逻辑2：Administrative Legitimacy（行政归属合法性）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]"
思想别那么传统，我看你主页，小伙岁数也不大啊，怎么思想那么封建，北京16个区，一个区也不能少，任何一个区至关重要，如果你说三环外是农地，我告诉你，那是上世纪，我在六环里，现在六环建设也不差啊，我告诉你，北京指的是，城六区:东西海朝石丰，6个，一个也不能少，郊区，10个，一个也不能少！,[认同逻辑1：Vernacular Spatial Authority],输出： [认同逻辑1：Vernacular Spatial Authority]
这是民国的吧。你这时间线就是乱的。一会又金国。一会又民国。金国北京和现在北京没用一点关系。现在北京始于明代。 民国十六年（1928）由于首都早迁往南京。北京慢慢就被肢解划给河北了。最后城里都没留住。直到建国才又直辖之后又陆续往回划所辖区域直到1958年才形成今天的北京。 明清顺天府（北京）其余地方还在河北手里。当然也不是复古。 您拿民国事情还能说说。金国就算了,[认同逻辑2：Administrative Legitimacy（行政归属合法性）],输出： [认同逻辑2：Administrative Legitimacy（行政归属合法性）]
82年生人，小时候东西城是北京城，崇文宣武是城里破落户，朝海丰是近郊，其他都是远郊县城，二环是城乡分界线，三环就是荒地了。,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
对 小时候管去东西城天安门叫进北京城，出去了就都叫郊区，这么一看北京发展还是挺快的，怪不得国外都以为中国还是农村,[认同逻辑1],输出： [认同逻辑1]
门头沟挺好的本地人占大部份 生活挺惬意 环境好人也不多 就是逛街啥的不太行小时候总觉得城里方便 年纪越大越不爱回东边了,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
去北京的意思不是没有认同感，什么从河北划进来怎么怎么的，就现在北京的所有区，一共就那么几十公里，多少年就是京兆地区，天子脚下，长城内的人。举个例子，去北京=去北京城 ，去密云=去密云县城，这个是跟历史有关系，过去都有城池的，按照北京的语言系统，去北京城，去密云城说出来真的很别扭,[认同逻辑1],输出： [认同逻辑1]
房山柿子不行，房山最大的特产是跨区打工人,[认同逻辑7：Occupational Typification],输出： [认同逻辑7：Occupational Typification]
我住西北二环外几百米，晚上七点除了几个遛弯儿的基本就没什么人了，倍儿安静，吃饭要不西直门，要不金融街西单，远点儿王府井金宝街，我老公说清清静静的也挺好。我姨住崇文门，我以前在望京上班儿，确实不如那边儿店多，周围的批发市场全关了，不合规的小店全关了基本生活没问题，购物和娱乐活动欠缺。,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
你公公纯老北京的话他们的意识里二环内才是北京三环就是郊区了,[认同逻辑1],输出： [认同逻辑1]
在北京待了5，6年吧，其实一开始并不喜欢北京，到后来慢慢习惯这里，再到现在喜欢这里，举个最新鲜的例子，我爸前几天来北京玩儿住了一个多星期，他是脑梗偏瘫，二级残疾，右手右胳膊动不了，可以走路，但行动不便，右腿拐着的，每次带他出去说实话我都提心掉胆尤其上地铁（贫困家庭出行真没法次次打车，而且北京真的很堵，晕车也很难受）让我感受最深的是主动让座的都是北京大爷大妈（年轻人似乎就只有一次让座难道真的是因为上班族怨气太重了吗）而且是我爸一上车他们就看出来有问题，立马让他去座那种，我真的，心里真的万分感激，嘴里也不停的在说谢谢,"[认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）]","输出： [认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）]"
北京地铁对坐轮椅的、盲人全程服务特别好,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
大学毕业后一直在朝阳工作，还嫌弃小时候长大的西城“无聊”，有孩子了回到西城，没事自行车去北海公园溜达，看病走路就到，小院里晒个被子，汽车也不用开了，堵车交通管制和我也没关系了，幸福指数直线上升。连周末都不“出城”去朝阳了，纳闷自己怎么能忍受那么些年朝阳的堵和躁,"[认同逻辑3：Family Rootedness, 认同逻辑5：Functional Livability, 认同逻辑1：Vernacular Spatial Authority]","输出： [认同逻辑3：Family Rootedness, 认同逻辑5：Functional Livability, 认同逻辑1：Vernacular Spatial Authority]"
西村，44公里？？？？我只是看了地铁时长,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
我是外地来的牛马感觉都一样，反正天天住城中村挤地铁天天上班挨叼,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
最大的区别就是西边景色好，空气好，有山有水，不闹腾，宜居。东边各种污染严重，交通拥堵，不宜居。,[认同逻辑5],输出： [认同逻辑5]
我从小在东边，真的很少去西边，对那头特别不熟悉，上次去北展看个演出，明显感觉比东边老派。路边的连锁店是仙踪林，这牌子我有二十年没见过了小时候在老城区中心位置开过，没想到这牌子还在,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
开车都要这么久……那要是坐地铁不更远……是不是经常在市区上班的住在延庆都不方便啊，以后也发展不起来了吗,[认同逻辑5],输出： [认同逻辑5]
延庆没有地铁只有长途公交，坐车的话3h打底了。在市区工作一定不要住延庆啊,[认同逻辑5],输出： [认同逻辑5]
住在朝阳，社会关系大多在翠微周边，西边的确有点土，但那是低调，不低调也不敢啊！朝阳洋气不老少，但民营经济主导，总被西边看不起，这世界总会有你看不上我，我看不上你的事儿！,[认同逻辑1：Vernacular Spatial Authority，认同逻辑5：Functional Livability],输出： [认同逻辑1：Vernacular Spatial Authority，认同逻辑5：Functional Livability]
几代人都在海淀，时尚黑洞真不冤，很松弛但西城海淀的优质房产保值度高，朝阳很多盘跌的稀碎。虽然朝阳能买3.500平的明星小区，西城海淀也就只能买个改善盘大平层…,"[认同逻辑3：Family Rootedness, 认同逻辑1：Vernacular Spatial Authority, 认同逻辑5：Functional Livability, 认同逻辑6：Social Embeddedness]","输出： [认同逻辑3：Family Rootedness, 认同逻辑1：Vernacular Spatial Authority, 认同逻辑5：Functional Livability, 认同逻辑6：Social Embeddedness]"
我小时候住海淀长大了住望京，后来孩子上学回海淀，个人感觉望京比较适合年轻人生活，休闲自在啥都有，海淀吧，我住这地儿，真就只能上学，啥啥都破破的，每一天都想着赶紧上完学搬家,[认同逻辑5],输出： [认同逻辑5]
我住东二环 我爸妈住东四环 上班在西四环 我每天上班我感觉像出国 再赶上西四环交通管制 （海关排队,[认同逻辑1],输出： [认同逻辑1]
哈哈哈，东和西真的就像异地一样。开车去东边太难了，但我又不爱坐地铁,[认同逻辑1],输出： [认同逻辑1]
内片确实是一坨，房价原来挺低的，房价低就有个坏处，容易滋生垃圾,[认同逻辑5],输出： [认同逻辑5]
不算吧~最早那边是一大片荒地~小时候去石景山游乐园时下了地铁还要走好远才到~边上只有荒地什么都没有~后来慢慢建了小区~,[认同逻辑1：Vernacular Spatial Authority],输出： [认同逻辑1：Vernacular Spatial Authority]
你不会说反了吧海淀新区的大马路对着大山，心情一下就开朗了,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
对于我这城里土生土长的北京人的陈旧的思想：东边过了东大桥就是农村。西边过了官园就是农村。北边出了北三环就是农村。南边过了自然博物馆就是农村。海淀区就中关村再往西北就农村。丰台都郊县原来打电话都带郊直费。通州是哪？哦你说通县呀。去趟顺义一天回不来得住村里。延庆我草得坐火车(原来真从西直门坐火车),"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）]"
老北京话里的东富西贵指的是二环以里，没朝阳什么事。而且是真正的二环城圈儿里，就是地铁2号线以里。朝阳那时候还农村呢，压根不在这个老话指的范围内。,[认同逻辑1],输出： [认同逻辑1]
正解，老辈区的概念不强的，因为那个时候变化太多，可能他经历了好几次行政区的划分调动，所以基本上本地人只会说自己待的这个地方的地名，比如凤山门望江门四牌楼庆春孩儿巷武林门半道红卖鱼桥古荡三里亭这种，也就是现在的街道（镇）、小区（村）的概念，只有对外地的朋友，他不清楚这些地方的所以才会用区来表述。,[认同逻辑1，认同逻辑2，认同逻辑3],输出： [认同逻辑1，认同逻辑2，认同逻辑3]
小时候不理解为什么老是说自己是老余杭的都是说去杭州玩，直到在杭州读大学被本地的几个人骂了一顿说我市区没房子不要说自己是杭州人之后我就有点理解了（当时只是报名后刚刚好一起去吃饭然后聊天聊起是那里人，我说我杭州的，然后细问知道我是余杭的后，就说我乡下人不要硬贴说自己是杭州人），只说自己杭州郊区或者直接说老余杭的,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑4：Linguistic-Cultural Recognition（文化语言识别性）]"
真的是这样，我也是余杭的，一直都说是“去杭州”，而不是去“市区”，说实在的，我们没归属感，人家也不当我们是自己人,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
什么叫乡下？你的定义是什么？周边也一大把出生就是城镇户口，父母都是工人或者事业单位公务员，家里没有土地，怎么就是乡下了？要你这么说全国就没有几个不是乡下的地方了。,[认同逻辑2：Administrative Legitimacy（行政归属合法性）],输出： [认同逻辑2：Administrative Legitimacy（行政归属合法性）]
一样去杭州读个破大学反而还被歧视乡下人了，余杭读了12年书一点事都没有，天天说我们没归属感，那边又歧视我们，说我们乡下人，硬贴杭州，老底子杭州屁大点地方，吞了多少才发展起来自己没点数,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑2：Administrative Legitimacy（行政归属合法性）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑2：Administrative Legitimacy（行政归属合法性）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）]"
一般当能答出杭州哪里（比如武林门，采荷，翠苑，朝晖这种称呼）后因为密码正确接下来的语言模式会自动切换为杭州话（特指老市区范围的杭州话，毕竟稍微隔几公里就会出现口音差异了）哈哈哈,[认同逻辑1：Vernacular Spatial Authority，认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑1：Vernacular Spatial Authority，认同逻辑4：Linguistic-Cultural Recognition]
别说其他区了，我是西湖区三墩的浙大紫金港这边，小时候去趟龙翔桥都说去杭州。对外都说自己三墩乡下人。,[认同逻辑1：Vernacular Spatial Authority，认同逻辑3：Family Rootedness],输出： [认同逻辑1：Vernacular Spatial Authority，认同逻辑3：Family Rootedness]
不一定因为杭州市区的瞧不起周边的又因为杭州政府做的不地道很多区的人都对杭州没有归属感，问你哪里人只是问你你觉得你是哪里人罢了,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
我西湖区三墩镇，我都说自己杭州乡下人……跟他们城里人讲的话不一样,[认同逻辑4],输出： [认同逻辑4]
会啊，城里的就不太看得起我们这种乡下的，虽然钱还没我们多，像我们西湖区都是乡下地方，讲的都是老余杭的话，跟他们上城下城都是讲杭州话的，还是有点差别，哈哈哈啊,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
你同学说错了，西湖区也是乡下，因为我们这讲的都是余杭话，其他几个区讲的都是杭州话,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
那你是杭州市区的吧，我是富阳的，以前是独立的市，前几年才划进杭州的,[认同逻辑2：Administrative Legitimacy],输出： [认同逻辑2：Administrative Legitimacy]
你猜怎么着，你划的滨江萧山这边本地人，平时去市区都会说：去杭州玩，还有东边划得都到七堡了，我那边的同学可不认为他是市中心的你这么划是把自己家先划进去了呗,[认同逻辑1：Vernacular Spatial Authority],输出： [认同逻辑1：Vernacular Spatial Authority]
想起有一个前同事，爸妈住解放路，自己结婚了住凤起路，上班在庆春路，她这个土生土长的杭州本地人只认得这3条路,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
你都划到萧山了，就把我最顶上的大塘栖也划进去呗，让我也体验体验住在市区是啥体验,[认同逻辑1],输出： [认同逻辑1]
杭州人至少要说杭州话，萧山话杭州人都听不懂，硬划进杭州市区，别说杭州人了，问问萧山人干吗？,[认同逻辑4],输出： [认同逻辑4]
